fips,county,state,variable,estimate,variable_name
01073,Jefferson County,AL,deaths,71,deaths
01073,Jefferson County,AL,births,8437,births
01073,Jefferson County,AL,death_rate,8.415313500059263,death_rate
01089,Madison County,AL,deaths,28,deaths
01089,Madison County,AL,births,4262,births
01089,Madison County,AL,death_rate,6.569685593618019,death_rate
01097,Mobile County,AL,deaths,49,deaths
01097,Mobile County,AL,births,5549,births
01097,Mobile County,AL,death_rate,8.830419895476663,death_rate
02020,Anchorage Borough,AK,deaths,14,deaths
02020,Anchorage Borough,AK,births,3975,births
02020,Anchorage Borough,AK,death_rate,3.522012578616352,death_rate
04013,Maricopa County,AZ,deaths,290,deaths
04013,Maricopa County,AZ,births,51854,births
04013,Maricopa County,AZ,death_rate,5.592625448374282,death_rate
04019,Pima County,AZ,deaths,59,deaths
04019,Pima County,AZ,births,10671,births
04019,Pima County,AZ,death_rate,5.52900384218911,death_rate
04021,Pinal County,AZ,deaths,29,deaths
04021,Pinal County,AZ,births,4498,births
04021,Pinal County,AZ,death_rate,6.447309915518008,death_rate
05119,Pulaski County,AR,deaths,44,deaths
05119,Pulaski County,AR,births,5123,births
05119,Pulaski County,AR,death_rate,8.588717548311536,death_rate
06001,Alameda County,CA,deaths,57,deaths
06001,Alameda County,CA,births,18240,births
06001,Alameda County,CA,death_rate,3.125,death_rate
06013,Contra Costa County,CA,deaths,45,deaths
06013,Contra Costa County,CA,births,12002,births
06013,Contra Costa County,CA,death_rate,3.749375104149309,death_rate
06019,Fresno County,CA,deaths,111,deaths
06019,Fresno County,CA,births,14465,births
06019,Fresno County,CA,death_rate,7.673695126166609,death_rate
06029,Kern County,CA,deaths,61,deaths
06029,Kern County,CA,births,12916,births
06029,Kern County,CA,death_rate,4.722824403840198,death_rate
06037,Los Angeles County,CA,deaths,443,deaths
06037,Los Angeles County,CA,births,110271,births
06037,Los Angeles County,CA,death_rate,4.017375375211978,death_rate
06047,Merced County,CA,deaths,14,deaths
06047,Merced County,CA,births,3875,births
06047,Merced County,CA,death_rate,3.6129032258064515,death_rate
06053,Monterey County,CA,deaths,27,deaths
06053,Monterey County,CA,births,5895,births
06053,Monterey County,CA,death_rate,4.580152671755726,death_rate
06059,Orange County,CA,deaths,111,deaths
06059,Orange County,CA,births,35679,births
06059,Orange County,CA,death_rate,3.1110737408559657,death_rate
06065,Riverside County,CA,deaths,128,deaths
06065,Riverside County,CA,births,28725,births
06065,Riverside County,CA,death_rate,4.456048738033072,death_rate
